domain,email,status
adventures.is,custom@adventures.is,INVALID
adventures.com,dpo@adventures.com,INVALID
adventures.is,info@adventures.is,INVALID
altuspower.com,hello@altuspower.com,INVALID
apter.com.br,dpo@apter.com.br,INVALID
adventures.is,jonthor@adventures.is,INVALID
altuspower.com,info@altuspower.com,INVALID
99c.co.za,info@99c.co.za,INVALID
cobratate.com,cobratatenews@gmail.com,INVALID
bdg.io,info@bdg.io,INVALID
austintechnology.com.au,sales@austintechnology.com.au,INVALID
austintechnology.com.au,support@austintechnology.com.au,INVALID
converge.it,info@convergeit.tech,INVALID
cquencehealth.com,info@cquencehealth.com,INVALID
daloopa.com,hello@daloopa.com,INVALID
datapolicy.co,hello@datapolicy.co,INVALID
deconcern.nl,info@deconcern.nl,INVALID
deducta.ai,hello@deducta.ai,INVALID
demola.net,mirza@demola.net,INVALID
devcycle.com,sales@devcycle.com,INVALID
deltaforge.tech,contactus@deltaforge.tech,INVALID
demola.net,ville@demola.net,INVALID
devcycle.com,support@devcycle.com,INVALID
demola.net,jere@demola.net,INVALID
devolens.com,help@devolens.com,INVALID
digital-masters.de,info@digital-masters.de,INVALID
dispatchit.com,support@dispatchit.com,INVALID
dhtech.com,info@dhtech.com,INVALID
digitalsurge.com.au,support@digitalsurge.com.au,INVALID
dimuto.io,info@dimuto.io,INVALID
drakerep.com,solutions@drakerep.com,INVALID
dma-group.co.uk,sales@dma-group.co.uk,INVALID
doktormartin.sk,info@doktormartin.sk,INVALID
drmgroup.com,info-cn@drmgroup.com,INVALID
drmgroup.com,info-in@drmgroup.com,INVALID
drmgroup.com,info-my@drmgroup.com,INVALID
drmgroup.com,info-pl@drmgroup.com,INVALID
dropi.co,soporte@dropi.co,INVALID
drmgroup.com,info-us@drmgroup.com,INVALID
drmgroup.com,info@drmgroup.com,INVALID
dutchvalleyfoods.com,info@dutchvalleyfoods.com,INVALID
dutyfreedynamics.com,info@dutyfreedynamics.com,INVALID
e-cruce.com,busquedas@e-cruce.com,INVALID
evernote.com,support@evernote.com,INVALID
expertpartners.com,contact@expertpartners.com,INVALID
evolve-partners.com,infoUS@evolve.cc,INVALID
ezeep.com,support@ezeep.com,INVALID
ezekia.com,info@ezekia.com,INVALID
fastweigh.com,info@fastweigh.com,INVALID
fastbridgefiber.com,info@fastbridgefiber.com,INVALID
facilio.com,hello@facilio.com,INVALID
familux.com,info@familux.com,INVALID
finalto.com,compliance.apac@finalto.com,INVALID
finalto.com,compliance.eu@finalto.com,INVALID
finalto.com,compliance@finalto.com,INVALID
feedspace.io,support@feedspace.io,INVALID
finalto.com,marketing@finalto.com,INVALID
finalto.com,privacy@finalto.com,INVALID
flotiq.com,hello@flotiq.com,INVALID
foodello.com,info@foodello.com,INVALID
forte.co.nz,hello@forte.co.nz,INVALID
founderplus.id,hello@founderplus.id,INVALID
freyjaworld.com,customercare@freyja.co.in,INVALID
freyjaworld.com,info@freyja.co.in,INVALID
freytech.org,info@freytech.org,INVALID
freytech.org,support@freytech.org,INVALID
growthfactor.ai,contact@growthfactor.ai,INVALID
growthkitchen.co,hello@growthkitchen.co,INVALID
grupoamericainterior.com.ar,info@grupoamericainterior.com.ar,INVALID
grydd.com,info@grydd.com,INVALID
grupodecio.com.br,contato@grupodecio.com.br,INVALID
handwrytten.com,team@handwrytten.com,INVALID
halfmoonempanadas.com,info@halfmoonempanadas.com,INVALID
heron-intelligence.com,contact@heron-intelligence.com,INVALID
headlight.co,hello@headlight.co,INVALID
hex.inc,hello@hex.inc,INVALID
gtlaw.com.au,info@gtlaw.com.au,INVALID
hfsresearch.com,info@hfsresearch.com,INVALID
heynox.com,hello@heynox.com,INVALID
heybloome.com,hello@heybloome.com,INVALID
idc.com,idc_support@idc.com,INVALID
higgsfield.ai,contact@higgsfield.ai,INVALID
inki.tech,partners@inki.tech,INVALID
katanamrp.com,support@katanamrp.com,INVALID
laferla.com.mt,complaints@laferla.com.mt,INVALID
klealegal.com,privacy@quantios.com,INVALID
laferla.com.mt,info@laferla.com.mt,INVALID
laferla.com.mt,medicalclaims@laferla.com.mt,INVALID
myn.co.uk,privacy@myn.co.uk,INVALID
micador.com.au,amazing@micador.com.au,INVALID
myn.co.uk,support@myn.co.uk,INVALID
pearldiver.io,support@pearldiver.io,INVALID
photoroom.com,support@photoroom.com,INVALID
powersupportpartners.com,support@powersupportpartners.com,INVALID
predictiveindex.com,support@predictiveindex.com,INVALID
point-topic.com,contact@point-topic.com,INVALID
prepared.app,support@prepared.app,INVALID
proemion.com,info@proemion.com,INVALID
thinksurance.de,info@thinksurance.de,INVALID
